path,spoken_language,signed_language,start,end,words,glosses,priority
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Ask.mp4,en,ins,0,0,Ask,ASK,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Assume.mp4,en,ins,0,0,Assume,ASSUME,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Atmosphere.mp4,en,ins,0,0,Atmosphere,ATMOSPHERE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Attitude.mp4,en,ins,0,0,Attitude,ATTITUDE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/August.mp4,en,ins,0,0,August,AUGUST,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Automatic.mp4,en,ins,0,0,Automatic,AUTOMATIC,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Autorickshaw.mp4,en,ins,0,0,Autorickshaw,AUTORICKSHAW,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Available.mp4,en,ins,0,0,Available,AVAILABLE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Away.mp4,en,ins,0,0,Away,AWAY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Baby.mp4,en,ins,0,0,Baby,BABY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Bag.mp4,en,ins,0,0,Bag,BAG,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Band-Aid.mp4,en,ins,0,0,Bandage,BANDAGE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Beard.mp4,en,ins,0,0,Beard,BEARD,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Before.mp4,en,ins,0,0,Before,BEFORE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Bike_Motorcycle.mp4,en,ins,0,0,Bike,BIKE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Black.mp4,en,ins,0,0,Black,BLACK,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Blanket.mp4,en,ins,0,0,Blanket,BLANKET,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Break_up.mp4,en,ins,0,0,Break up,BREAK_UP,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Bucket.mp4,en,ins,0,0,Bucket,BUCKET,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Bus.mp4,en,ins,0,0,Bus,BUS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Call_(Someone_Called_Me).mp4,en,ins,0,0,Call,CALL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Cartoon.mp4,en,ins,0,0,Cartoon,CARTOON,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Catch.mp4,en,ins,0,0,Catch,CATCH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Charger_(Phone).mp4,en,ins,0,0,Charger,CHARGER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Chocolate.mp4,en,ins,0,0,Chocolate,CHOCOLATE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Christmas.mp4,en,ins,0,0,Christmas,CHRISTMAS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Circus.mp4,en,ins,0,0,Circus,CIRCUS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Class.mp4,en,ins,0,0,Class,CLASS,0
